seed,n,lambda,events,joint_entries,factored_entries,storage_ratio,oracle_utility,source_scheme,environment_index,evidence_stream,driver_reject_penalty,tracker,utility,max_tv,update_wallclock_s,wallclock,mean_update_us,p95_update_us,peak_mem_bytes,peak_mem,belief_entries,snapshots,assignments,served,driver_rejects,passenger_rejects,sampling_rng_seed
3,3,0.0,52,4096,48,85.33333333333333,-1.7100000000000015,closed-loop regeneration by fleet size,3,nearest-policy saved assignment events; identical order across trackers,2.0,joint,-2.690000000000002,1.3877787807814457e-15,0.0015566,0.0015566,29.934615384615377,69.00999999999998,32768,32768,4096,38,53,24,24,5,250003
4,3,0.0,61,4096,48,85.33333333333333,-41.61,closed-loop regeneration by fleet size,4,nearest-policy saved assignment events; identical order across trackers,2.0,factored,-43.08,1.0007764284408917e-15,0.0005475,0.0005475,8.975409836065573,19.8,384,384,48,40,63,18,35,10,140004
4,3,0.0,61,4096,48,85.33333333333333,-41.61,closed-loop regeneration by fleet size,4,nearest-policy saved assignment events; identical order across trackers,2.0,joint,-43.08,1.0007764284408917e-15,0.0020096,0.0020096,32.94426229508197,58.6,32768,32768,4096,40,63,18,35,10,250004
5,3,0.0,52,4096,48,85.33333333333333,-10.150000000000002,closed-loop regeneration by fleet size,5,nearest-policy saved assignment events; identical order across trackers,2.0,factored,-14.180000000000003,1.0690233420707074e-15,0.0004339,0.0004339,8.34423076923077,15.664999999999976,384,384,48,35,52,18,18,16,140005
5,3,0.0,52,4096,48,85.33333333333333,-10.150000000000002,closed-loop regeneration by fleet size,5,nearest-policy saved assignment events; identical order across trackers,2.0,joint,-10.150000000000002,1.0690233420707074e-15,0.0015316,0.0015316,29.453846153846158,47.304999999999986,32768,32768,4096,35,52,19,18,15,250005
6,3,0.0,44,4096,48,85.33333333333333,28.47,closed-loop regeneration by fleet size,6,nearest-policy saved assignment events; identical order across trackers,2.0,factored,27.76999999999999,1.1934897514720433e-15,0.0003623,0.0003623,8.23409090909091,15.630000000000003,384,384,48,29,44,23,10,11,140006
6,3,0.0,44,4096,48,85.33333333333333,28.47,closed-loop regeneration by fleet size,6,nearest-policy saved assignment events; identical order across trackers,2.0,joint,26.929999999999993,1.1934897514720433e-15,0.0014648,0.0014648,33.290909090909096,53.355,32768,32768,4096,29,44,23,10,11,250006
7,3,0.0,64,4096,48,85.33333333333333,-33.92,closed-loop regeneration by fleet size,7,nearest-policy saved assignment events; identical order across trackers,2.0,factored,-33.92,1.7486012637846216e-15,0.0005832,0.0005832,9.1125,20.585,384,384,48,36,65,19,37,9,140007
7,3,0.0,64,4096,48,85.33333333333333,-33.92,closed-loop regeneration by fleet size,7,nearest-policy saved assignment events; identical order across trackers,2.0,joint,-33.92,1.7486012637846216e-15,0.0020768,0.0020768,32.45,71.16499999999995,32768,32768,4096,36,65,19,37,9,250007
8,3,0.0,54,4096,48,85.33333333333333,-4.859999999999996,closed-loop regeneration by fleet size,8,nearest-policy saved assignment events; identical order across trackers,2.0,factored,-7.080000000000002,1.0171984782259003e-15,0.0005367,0.0005367,9.93888888888889,21.5,384,384,48,35,53,23,28,2,140008
8,3,0.0,54,4096,48,85.33333333333333,-4.859999999999996,closed-loop regeneration by fleet size,8,nearest-policy saved assignment events; identical order across trackers,2.0,joint,-7.080000000000002,1.0171984782259003e-15,0.0019674,0.0019674,36.43333333333334,66.05499999999999,32768,32768,4096,35,53,23,28,2,250008
9,3,0.0,55,4096,48,85.33333333333333,2.5900000000000025,closed-loop regeneration by fleet size,9,nearest-policy saved assignment events; identical order across trackers,2.0,factored,2.5900000000000025,2.4702462297909733e-15,0.0003459,0.0003459,6.289090909090907,8.179999999999998,384,384,48,34,54,26,26,2,140009
9,3,0.0,55,4096,48,85.33333333333333,2.5900000000000025,closed-loop regeneration by fleet size,9,nearest-policy saved assignment events; identical order across trackers,2.0,joint,2.5900000000000025,2.4702462297909733e-15,0.0015172,0.0015172,27.585454545454542,33.56999999999999,32768,32768,4096,34,54,26,26,2,250009
0,3,0.5,59,4096,48,85.33333333333333,-45.3,closed-loop regeneration by fleet size,0,nearest-policy saved assignment events; identical order across trackers,2.0,factored,-63.37,9.545315926562381e-16,0.0003777,0.0003777,6.401694915254238,8.61,384,384,48,44,58,12,41,5,140500
0,3,0.5,59,4096,48,85.33333333333333,-45.3,closed-loop regeneration by fleet size,0,nearest-policy saved assignment events; identical order across trackers,2.0,joint,-60.28,9.545315926562381e-16,0.0016519,0.0016519,27.998305084745763,36.70999999999998,32768,32768,4096,44,58,13,40,5,250500
