sweep,n,m,method,seeds,K,beta,rho_hat,final_regret_mean,final_regret_sem,median_burn_in_all_agents,burn_in_censored_seeds,median_agent_burn_in,storage_entries,storage_theoretical_bytes,storage_allocated_bytes,planner_ms_mean,planner_ms_sem,update_us_per_event_mean,update_us_per_event_sem,planner_feasible,joint_feasible,feasible,cap_rule
s3_frontier_m16,2,16,psrl_notype,10,50,0.25,0.0011696097542561734,2.545185185185185,0.4964184072336459,nan,10,nan,32,256,256,0.0115032,0.0003471931244297654,0.0,0.0,True,True,True,none
s3_frontier_m16,3,16,oracle,10,50,0.25,0.0011696097542561734,0.0,0.0,nan,10,nan,0,0,0,0.0072299999999999994,0.00016127063103015912,0.0,0.0,True,True,True,none
s3_frontier_m16,3,16,pact,10,50,0.25,0.0011696097542561734,0.1323356481481483,0.03690041912845785,nan,9,44.0,48,384,384,0.0124648,0.0005178777429406158,1.9289333333333334,0.060698204638315725,True,True,True,none
s3_frontier_m16,3,16,pact_plus,10,50,0.25,0.0011696097542561734,0.03233333333333359,0.021709871453293433,nan,9,43.0,48,384,384,0.042801200000000005,0.0007794417078087004,2.1485333333333334,0.0675119436393058,True,True,True,none
s3_frontier_m16,3,16,joint_psrl_uniform,10,50,0.25,0.0011696097542561734,0.1323356481481483,0.03690041912845785,nan,9,44.0,4096,32768,32768,0.0124648,0.0005178777429406158,12.144133953067165,0.17355983352128526,True,True,True,none
s3_frontier_m16,3,16,psrl_notype,10,50,0.25,0.0011696097542561734,3.0049356481481486,0.4151903539885978,nan,10,nan,48,384,384,0.0129418,0.00022007173525310928,0.0,0.0,True,True,True,none
s3_frontier_m16,4,16,oracle,10,50,0.25,0.0011696097542561734,0.0,0.0,nan,10,nan,0,0,0,0.058949999999999995,0.00056019338916711,0.0,0.0,True,True,True,none
s3_frontier_m16,4,16,pact,10,50,0.25,0.0011696097542561734,0.1481194444444453,0.03395530549701147,nan,10,42.0,64,512,512,0.0331642,0.0006240222144830556,1.4599499999999999,0.03776157263324014,True,True,True,none
s3_frontier_m16,4,16,pact_plus,10,50,0.25,0.0011696097542561734,0.03580185185185245,0.024027789956941818,nan,10,48.0,64,512,512,0.071727,0.001175458236660182,1.59975,0.038639920573467115,True,True,True,none
s3_frontier_m16,4,16,joint_psrl_uniform,10,50,0.25,0.0011696097542561734,0.1481194444444453,0.03395530549701147,nan,10,42.0,65536,524288,524288,0.0331642,0.0006240222144830556,72.93079991359264,0.6079838335779729,True,True,True,none
s3_frontier_m16,4,16,psrl_notype,10,50,0.25,0.0011696097542561734,3.747661111111114,0.42444708975782525,nan,10,nan,64,512,512,0.0373668,0.0006341805464147429,0.0,0.0,True,True,True,none
s3_frontier_m16,5,16,oracle,10,50,0.25,0.0011696097542561734,0.0,0.0,nan,10,nan,0,0,0,0.12522999999999998,0.0007332718289626981,0.0,0.0,True,True,True,none
s3_frontier_m16,5,16,pact,10,50,0.25,0.0011696097542561734,0.24271736111111436,0.051649354868163216,nan,10,37.0,80,640,640,0.09243280000000001,0.0020549017033280885,1.3464800000000001,0.05053146819315179,True,True,True,none
s3_frontier_m16,5,16,pact_plus,10,50,0.25,0.0011696097542561734,0.03687361111111263,0.022387620843014197,nan,10,40.0,80,640,640,0.25754920000000003,0.005306411461988964,2.3882399999999997,0.0907969006030395,True,True,True,none
s3_frontier_m16,5,16,joint_psrl_uniform,10,50,0.25,0.0011696097542561734,0.24271736111111436,0.051649354868163216,nan,10,37.0,1048576,8388608,8388608,0.09243280000000001,0.0020549017033280885,3217.7356398664415,20.775595334443715,True,True,True,none
s3_frontier_m16,5,16,psrl_notype,10,50,0.25,0.0011696097542561734,4.1501729166666745,0.5464597324778862,nan,10,nan,80,640,640,0.0918656,0.0009386115792346409,0.0,0.0,True,True,True,none
s3_frontier_m16,6,16,oracle,10,50,0.25,0.0011696097542561734,0.0,0.0,nan,10,nan,0,0,0,0.46628,0.002142879152477864,0.0,0.0,True,True,True,none
s3_frontier_m16,6,16,pact,10,50,0.25,0.0011696097542561734,0.3179738888888898,0.061581349668520725,nan,10,40.0,96,768,768,0.3622522,0.003868228806381163,1.3990666666666667,0.13226995983843964,True,True,True,none
s3_frontier_m16,6,16,pact_plus,10,50,0.25,0.0011696097542561734,0.04467777777777941,0.023168562716619025,nan,10,43.0,96,768,768,0.8096282000000001,0.010079222596302336,1.6591666666666665,0.04928705413380022,True,True,True,none
