seed,n,lambda,events,joint_entries,factored_entries,storage_ratio,oracle_utility,source_scheme,environment_index,evidence_stream,driver_reject_penalty,tracker,utility,max_tv,update_wallclock_s,wallclock,mean_update_us,p95_update_us,peak_mem_bytes,peak_mem,belief_entries,snapshots,assignments,served,driver_rejects,passenger_rejects,sampling_rng_seed
0,8,1.0,56,4294967296,128,33554432.0,30.639999999999993,closed-loop regeneration by fleet size,0,nearest-policy saved assignment events; identical order across trackers,2.0,factored,-6.9999999999999964,nan,0.0003965,0.0003965,7.080357142857143,13.725,1024,1024,128,39,56,22,17,17,191000
1,8,1.0,62,4294967296,128,33554432.0,24.15,closed-loop regeneration by fleet size,1,nearest-policy saved assignment events; identical order across trackers,2.0,factored,-14.960000000000004,nan,0.0005786,0.0005786,9.332258064516127,14.439999999999994,1024,1024,128,40,62,20,24,18,191001
2,8,1.0,49,4294967296,128,33554432.0,58.61,closed-loop regeneration by fleet size,2,nearest-policy saved assignment events; identical order across trackers,2.0,factored,16.200000000000003,nan,0.0003724,0.0003724,7.6,14.439999999999998,1024,1024,128,32,49,27,14,8,191002
3,8,1.0,54,4294967296,128,33554432.0,30.17,closed-loop regeneration by fleet size,3,nearest-policy saved assignment events; identical order across trackers,2.0,factored,4.769999999999999,nan,0.0003932,0.0003932,7.2814814814814826,13.639999999999986,1024,1024,128,35,54,25,12,17,191003
4,8,1.0,83,4294967296,128,33554432.0,-32.34,closed-loop regeneration by fleet size,4,nearest-policy saved assignment events; identical order across trackers,2.0,factored,-61.03,nan,0.0011548,0.0011548,13.913253012048193,25.09,1024,1024,128,45,76,19,47,10,191004
5,8,1.0,75,4294967296,128,33554432.0,10.799999999999995,closed-loop regeneration by fleet size,5,nearest-policy saved assignment events; identical order across trackers,2.0,factored,-5.580000000000002,nan,0.0009151,0.0009151,12.201333333333336,22.839999999999996,1024,1024,128,52,75,29,21,25,191005
6,8,1.0,60,4294967296,128,33554432.0,26.099999999999998,closed-loop regeneration by fleet size,6,nearest-policy saved assignment events; identical order across trackers,2.0,factored,-1.8199999999999927,nan,0.0005657,0.0005657,9.428333333333333,19.48499999999999,1024,1024,128,32,61,25,25,11,191006
7,8,1.0,66,4294967296,128,33554432.0,5.370000000000003,closed-loop regeneration by fleet size,7,nearest-policy saved assignment events; identical order across trackers,2.0,factored,-17.23,nan,0.0009772,0.0009772,14.806060606060607,24.099999999999998,1024,1024,128,36,64,24,31,9,191007
8,8,1.0,99,4294967296,128,33554432.0,-51.26,closed-loop regeneration by fleet size,8,nearest-policy saved assignment events; identical order across trackers,2.0,factored,-92.81,nan,0.000792,0.000792,8.0,21.129999999999992,1024,1024,128,64,92,18,62,12,191008
9,8,1.0,52,4294967296,128,33554432.0,73.77,closed-loop regeneration by fleet size,9,nearest-policy saved assignment events; identical order across trackers,2.0,factored,23.28000000000001,nan,0.0003611,0.0003611,6.94423076923077,15.034999999999998,1024,1024,128,31,52,28,17,7,191009
10,8,1.0,61,4294967296,128,33554432.0,43.32,closed-loop regeneration by fleet size,10,nearest-policy saved assignment events; identical order across trackers,2.0,factored,14.459999999999997,nan,0.0004839,0.0004839,7.9327868852459025,16.0,1024,1024,128,41,61,31,21,9,191010
11,8,1.0,51,4294967296,128,33554432.0,62.06000000000003,closed-loop regeneration by fleet size,11,nearest-policy saved assignment events; identical order across trackers,2.0,factored,25.280000000000005,nan,0.0005094,0.0005094,9.988235294117647,19.200000000000003,1024,1024,128,34,51,30,14,7,191011
12,8,1.0,66,4294967296,128,33554432.0,30.009999999999994,closed-loop regeneration by fleet size,12,nearest-policy saved assignment events; identical order across trackers,2.0,factored,8.139999999999995,nan,0.000506,0.000506,7.666666666666667,14.35,1024,1024,128,39,66,31,18,17,191012
13,8,1.0,41,4294967296,128,33554432.0,61.3,closed-loop regeneration by fleet size,13,nearest-policy saved assignment events; identical order across trackers,2.0,factored,37.940000000000005,nan,0.000328,0.000328,8.0,16.1,1024,1024,128,22,41,26,5,10,191013
14,8,1.0,87,4294967296,128,33554432.0,-30.72,closed-loop regeneration by fleet size,14,nearest-policy saved assignment events; identical order across trackers,2.0,factored,-66.28,nan,0.0009977,0.0009977,11.46781609195402,30.040000000000003,1024,1024,128,47,84,22,52,10,191014
15,8,1.0,79,4294967296,128,33554432.0,-15.989999999999991,closed-loop regeneration by fleet size,15,nearest-policy saved assignment events; identical order across trackers,2.0,factored,-38.23,nan,0.0005824,0.0005824,7.37215189873418,12.289999999999994,1024,1024,128,44,80,24,41,15,191015
16,8,1.0,55,4294967296,128,33554432.0,48.73000000000001,closed-loop regeneration by fleet size,16,nearest-policy saved assignment events; identical order across trackers,2.0,factored,14.040000000000001,nan,0.0003431,0.0003431,6.238181818181817,10.389999999999999,1024,1024,128,36,55,27,14,14,191016
17,8,1.0,65,4294967296,128,33554432.0,56.85000000000001,closed-loop regeneration by fleet size,17,nearest-policy saved assignment events; identical order across trackers,2.0,factored,29.979999999999997,nan,0.0004568,0.0004568,7.027692307692307,13.959999999999988,1024,1024,128,42,65,36,13,16,191017
18,8,1.0,64,4294967296,128,33554432.0,39.27999999999999,closed-loop regeneration by fleet size,18,nearest-policy saved assignment events; identical order across trackers,2.0,factored,-0.5399999999999991,nan,0.0004423,0.0004423,6.9109375,11.949999999999994,1024,1024,128,42,64,26,22,16,191018
19,8,1.0,64,4294967296,128,33554432.0,45.300000000000004,closed-loop regeneration by fleet size,19,nearest-policy saved assignment events; identical order across trackers,2.0,factored,21.579999999999995,nan,0.0005047,0.0005047,7.8859375,18.094999999999974,1024,1024,128,42,64,32,14,18,191019
