model,alpha,seed,algorithm,episode,instant_regret,cumulative_regret,chosen_action,oracle_action,chosen_welfare,oracle_welfare,posterior_true_mass,true_types
DeepSeek-V3.2-live,0.0,40000,joint_psrl_coupled,33,0.0,1.85,13,13,2.85,2.85,0.999999999999995,3|2|3
DeepSeek-V3.2-live,0.0,40000,joint_psrl_coupled,34,0.0,1.85,13,13,2.85,2.85,0.999999999999995,3|2|3
DeepSeek-V3.2-live,0.0,40000,joint_psrl_coupled,35,0.0,1.85,13,13,2.85,2.85,0.999999999999995,3|2|3
DeepSeek-V3.2-live,0.0,40000,joint_psrl_coupled,36,0.0,1.85,13,13,2.85,2.85,0.999999999999995,3|2|3
DeepSeek-V3.2-live,0.0,40000,joint_psrl_coupled,37,0.0,1.85,13,13,2.85,2.85,0.999999999999995,3|2|3
DeepSeek-V3.2-live,0.0,40000,joint_psrl_coupled,38,0.0,1.85,13,13,2.85,2.85,0.999999999999995,3|2|3
DeepSeek-V3.2-live,0.0,40000,joint_psrl_coupled,39,0.0,1.85,13,13,2.85,2.85,0.999999999999995,3|2|3
DeepSeek-V3.2-live,0.0,40000,joint_psrl_coupled,40,0.0,1.85,13,13,2.85,2.85,0.999999999999995,3|2|3
DeepSeek-V3.2-live,0.0,40000,joint_psrl_coupled,41,0.0,1.85,13,13,2.85,2.85,0.999999999999995,3|2|3
DeepSeek-V3.2-live,0.0,40000,joint_psrl_coupled,42,0.0,1.85,13,13,2.85,2.85,0.999999999999995,3|2|3
DeepSeek-V3.2-live,0.0,40000,joint_psrl_coupled,43,0.0,1.85,13,13,2.85,2.85,0.999999999999995,3|2|3
DeepSeek-V3.2-live,0.0,40000,joint_psrl_coupled,44,0.0,1.85,13,13,2.85,2.85,0.999999999999995,3|2|3
DeepSeek-V3.2-live,0.0,40000,joint_psrl_coupled,45,0.0,1.85,13,13,2.85,2.85,0.999999999999995,3|2|3
DeepSeek-V3.2-live,0.0,40000,joint_psrl_coupled,46,0.0,1.85,13,13,2.85,2.85,0.999999999999995,3|2|3
DeepSeek-V3.2-live,0.0,40000,joint_psrl_coupled,47,0.0,1.85,13,13,2.85,2.85,0.999999999999995,3|2|3
DeepSeek-V3.2-live,0.0,40000,joint_psrl_coupled,48,0.0,1.85,13,13,2.85,2.85,0.999999999999995,3|2|3
DeepSeek-V3.2-live,0.0,40000,joint_psrl_coupled,49,0.0,1.85,13,13,2.85,2.85,0.999999999999995,3|2|3
DeepSeek-V3.2-live,0.0,40000,joint_psrl_coupled,50,0.0,1.85,13,13,2.85,2.85,0.999999999999995,3|2|3
DeepSeek-V3.2-live,0.0,40000,joint_psrl_coupled,51,0.0,1.85,13,13,2.85,2.85,0.999999999999995,3|2|3
DeepSeek-V3.2-live,0.0,40000,joint_psrl_coupled,52,0.0,1.85,13,13,2.85,2.85,0.999999999999995,3|2|3
DeepSeek-V3.2-live,0.0,40000,joint_psrl_coupled,53,0.0,1.85,13,13,2.85,2.85,0.999999999999995,3|2|3
DeepSeek-V3.2-live,0.0,40000,joint_psrl_coupled,54,0.0,1.85,13,13,2.85,2.85,0.999999999999995,3|2|3
DeepSeek-V3.2-live,0.0,40000,joint_psrl_coupled,55,0.0,1.85,13,13,2.85,2.85,0.999999999999995,3|2|3
DeepSeek-V3.2-live,0.0,40000,joint_psrl_coupled,56,0.0,1.85,13,13,2.85,2.85,0.999999999999995,3|2|3
DeepSeek-V3.2-live,0.0,40000,joint_psrl_coupled,57,0.0,1.85,13,13,2.85,2.85,0.999999999999995,3|2|3
DeepSeek-V3.2-live,0.0,40000,joint_psrl_coupled,58,0.0,1.85,13,13,2.85,2.85,0.999999999999995,3|2|3
DeepSeek-V3.2-live,0.0,40000,joint_psrl_coupled,59,0.0,1.85,13,13,2.85,2.85,0.999999999999995,3|2|3
DeepSeek-V3.2-live,0.0,40000,joint_psrl_coupled,60,0.0,1.85,13,13,2.85,2.85,0.999999999999995,3|2|3
DeepSeek-V3.2-live,0.0,40000,joint_psrl_coupled,61,0.0,1.85,13,13,2.85,2.85,0.999999999999995,3|2|3
DeepSeek-V3.2-live,0.0,40000,joint_psrl_coupled,62,0.0,1.85,13,13,2.85,2.85,0.999999999999995,3|2|3
DeepSeek-V3.2-live,0.0,40000,joint_psrl_coupled,63,0.0,1.85,13,13,2.85,2.85,0.999999999999995,3|2|3
DeepSeek-V3.2-live,0.0,40000,joint_psrl_coupled,64,0.0,1.85,13,13,2.85,2.85,0.999999999999995,3|2|3
DeepSeek-V3.2-live,0.0,40000,joint_psrl_coupled,65,0.0,1.85,13,13,2.85,2.85,0.999999999999995,3|2|3
DeepSeek-V3.2-live,0.0,40000,joint_psrl_coupled,66,0.0,1.85,13,13,2.85,2.85,0.999999999999995,3|2|3
DeepSeek-V3.2-live,0.0,40000,joint_psrl_coupled,67,0.0,1.85,13,13,2.85,2.85,0.999999999999995,3|2|3
DeepSeek-V3.2-live,0.0,40000,joint_psrl_coupled,68,0.0,1.85,13,13,2.85,2.85,0.999999999999995,3|2|3
DeepSeek-V3.2-live,0.0,40000,joint_psrl_coupled,69,0.0,1.85,13,13,2.85,2.85,0.999999999999995,3|2|3
DeepSeek-V3.2-live,0.0,40000,joint_psrl_coupled,70,0.0,1.85,13,13,2.85,2.85,0.999999999999995,3|2|3
DeepSeek-V3.2-live,0.0,40000,joint_psrl_coupled,71,0.0,1.85,13,13,2.85,2.85,0.999999999999995,3|2|3
DeepSeek-V3.2-live,0.0,40000,joint_psrl_coupled,72,0.0,1.85,13,13,2.85,2.85,0.999999999999995,3|2|3
DeepSeek-V3.2-live,0.0,40000,joint_psrl_coupled,73,0.0,1.85,13,13,2.85,2.85,0.999999999999995,3|2|3
DeepSeek-V3.2-live,0.0,40000,joint_psrl_coupled,74,0.0,1.85,13,13,2.85,2.85,0.999999999999995,3|2|3
DeepSeek-V3.2-live,0.0,40000,joint_psrl_coupled,75,0.0,1.85,13,13,2.85,2.85,0.999999999999995,3|2|3
DeepSeek-V3.2-live,0.0,40000,joint_psrl_coupled,76,0.0,1.85,13,13,2.85,2.85,0.999999999999995,3|2|3
DeepSeek-V3.2-live,0.0,40000,joint_psrl_coupled,77,0.0,1.85,13,13,2.85,2.85,0.999999999999995,3|2|3
DeepSeek-V3.2-live,0.0,40000,joint_psrl_coupled,78,0.0,1.85,13,13,2.85,2.85,0.999999999999995,3|2|3
DeepSeek-V3.2-live,0.0,40000,joint_psrl_coupled,79,0.0,1.85,13,13,2.85,2.85,0.999999999999995,3|2|3
DeepSeek-V3.2-live,0.0,40000,joint_psrl_coupled,80,0.0,1.85,13,13,2.85,2.85,0.999999999999995,3|2|3
DeepSeek-V3.2-live,0.0,40000,joint_psrl_coupled,81,0.0,1.85,13,13,2.85,2.85,0.999999999999995,3|2|3
DeepSeek-V3.2-live,0.0,40000,joint_psrl_coupled,82,0.0,1.85,13,13,2.85,2.85,0.999999999999995,3|2|3
DeepSeek-V3.2-live,0.0,40000,joint_psrl_coupled,83,0.0,1.85,13,13,2.85,2.85,0.999999999999995,3|2|3
DeepSeek-V3.2-live,0.0,40000,joint_psrl_coupled,84,0.0,1.85,13,13,2.85,2.85,0.999999999999995,3|2|3
DeepSeek-V3.2-live,0.0,40000,joint_psrl_coupled,85,0.0,1.85,13,13,2.85,2.85,0.999999999999995,3|2|3
DeepSeek-V3.2-live,0.0,40000,joint_psrl_coupled,86,0.0,1.85,13,13,2.85,2.85,0.999999999999995,3|2|3
DeepSeek-V3.2-live,0.0,40000,joint_psrl_coupled,87,0.0,1.85,13,13,2.85,2.85,0.999999999999995,3|2|3
DeepSeek-V3.2-live,0.0,40000,joint_psrl_coupled,88,0.0,1.85,13,13,2.85,2.85,0.999999999999995,3|2|3
DeepSeek-V3.2-live,0.0,40000,joint_psrl_coupled,89,0.0,1.85,13,13,2.85,2.85,0.999999999999995,3|2|3
DeepSeek-V3.2-live,0.0,40000,joint_psrl_coupled,90,0.0,1.85,13,13,2.85,2.85,0.999999999999995,3|2|3
DeepSeek-V3.2-live,0.0,40000,joint_psrl_coupled,91,0.0,1.85,13,13,2.85,2.85,0.999999999999995,3|2|3
DeepSeek-V3.2-live,0.0,40000,joint_psrl_coupled,92,0.0,1.85,13,13,2.85,2.85,0.999999999999995,3|2|3
DeepSeek-V3.2-live,0.0,40000,joint_psrl_coupled,93,0.0,1.85,13,13,2.85,2.85,0.999999999999995,3|2|3
DeepSeek-V3.2-live,0.0,40000,joint_psrl_coupled,94,0.0,1.85,13,13,2.85,2.85,0.999999999999995,3|2|3
DeepSeek-V3.2-live,0.0,40000,joint_psrl_coupled,95,0.0,1.85,13,13,2.85,2.85,0.999999999999995,3|2|3
DeepSeek-V3.2-live,0.0,40000,joint_psrl_coupled,96,0.0,1.85,13,13,2.85,2.85,0.999999999999995,3|2|3
