n,m,H,seed,mean_restricted_agent_first_episode,all_agent_restricted_first_episode,censored_agents,mean_error_final_preupdate,mean_proxy_half,mean_proxy_end,unique_actions,rho_global
3,8,1,50131,183.33333333333334,240.0,0,0.0,110.24412291053586,110.24890974182512,1,0.0011696097542561734
3,8,1,50132,406.0,559.0,0,0.0,234.32586183700835,234.32586492806033,1,0.0011696097542561734
3,8,1,50133,200.0,338.0,0,0.0,115.19154783020197,115.19154839552533,1,0.0011696097542561734
3,8,1,50134,123.66666666666667,233.0,0,0.0,91.5145882100349,91.51458821348952,1,0.0011696097542561734
3,8,1,50135,302.0,565.0,0,0.0,162.89343383249695,162.89343386131642,1,0.0011696097542561734
3,8,1,50136,443.0,778.0,0,0.0,334.29638659063164,334.29638779965495,1,0.0011696097542561734
3,8,1,50137,147.66666666666666,292.0,0,0.0,81.68850843538054,81.68850843885077,1,0.0011696097542561734
3,8,1,50138,238.66666666666666,445.0,0,0.0,173.32885677445597,173.3288567767588,1,0.0011696097542561734
3,8,1,50139,275.3333333333333,319.0,0,5.181040781584064e-16,172.5268530568653,172.52685481185088,1,0.0011696097542561734
3,8,1,50140,177.0,221.0,0,0.0,101.92231662025976,101.92231662117224,1,0.0011696097542561734
3,8,1,50141,241.33333333333334,267.0,0,0.0,114.84485218989208,114.84485255584302,1,0.0011696097542561734
3,8,1,50142,176.0,220.0,0,0.0,90.89145234212447,90.89145295619494,1,0.0011696097542561734
3,8,1,50143,299.3333333333333,372.0,0,0.0,159.0682780382604,159.06827815367595,1,0.0011696097542561734
3,8,1,50144,365.0,447.0,0,0.0,224.66949890879323,224.66953399579586,1,0.0011696097542561734
3,8,1,50145,155.66666666666666,210.0,0,0.0,92.35811290148807,92.35811397443865,1,0.0011696097542561734
3,8,1,50146,211.66666666666666,385.0,0,1.4062824978585316e-15,105.01390417685627,105.01390426393569,1,0.0011696097542561734
3,8,1,50147,197.33333333333334,313.0,0,0.0,120.55345024446301,120.55345024469456,1,0.0011696097542561734
3,8,1,50148,156.33333333333334,337.0,0,0.0,107.80044825579499,107.80074634967873,1,0.0011696097542561734
3,8,1,50149,375.6666666666667,617.0,0,7.401486830834377e-17,278.45877275541164,278.45881499124465,1,0.0011696097542561734
3,8,1,50150,357.3333333333333,582.0,0,2.4646951146678475e-14,225.34754497089367,225.3475457287462,1,0.0011696097542561734
3,8,1,50151,167.33333333333334,232.0,0,0.0,84.6287285945405,84.62877163563128,1,0.0011696097542561734
3,8,1,50152,173.66666666666666,266.0,0,0.0,104.49542174952057,104.49658701473084,1,0.0011696097542561734
