cell,gap,target_information,turns,batch,mean_root_lr
1,1,0.5,142,167,0.6173203788140934
1,1,0.5,142,168,0.5678135559706384
1,1,0.5,142,169,0.6033377667391842
1,1,0.5,142,170,0.6499389422321366
1,1,0.5,142,171,0.602741705300601
1,1,0.5,142,172,0.5926031014104115
1,1,0.5,142,173,0.6408735762351057
1,1,0.5,142,174,0.5840345571131226
1,1,0.5,142,175,0.6139880559771272
1,1,0.5,142,176,0.603999629016907
1,1,0.5,142,177,0.5807139675764947
1,1,0.5,142,178,0.5694554410152987
1,1,0.5,142,179,0.613848529113952
1,1,0.5,142,180,0.5870316059657569
1,1,0.5,142,181,0.5918903800749754
1,1,0.5,142,182,0.5873003179463165
1,1,0.5,142,183,0.6049588835957329
1,1,0.5,142,184,0.6424095743248008
1,1,0.5,142,185,0.5852436951913882
1,1,0.5,142,186,0.6074449963476782
1,1,0.5,142,187,0.6121947936787863
1,1,0.5,142,188,0.6100699998989215
1,1,0.5,142,189,0.6427748282095527
1,1,0.5,142,190,0.5943739965952547
1,1,0.5,142,191,0.6512563184980741
1,1,0.5,142,192,0.6131502382852084
1,1,0.5,142,193,0.5787660153716495
1,1,0.5,142,194,0.6374989023861545
1,1,0.5,142,195,0.5756552442307907
1,1,0.5,142,196,0.607037183884685
1,1,0.5,142,197,0.6052852214588006
1,1,0.5,142,198,0.6114790865569132
1,1,0.5,142,199,0.6654174703715996
2,1,1.0,285,0,0.37605865700134167
2,1,1.0,285,1,0.36925726194335956
2,1,1.0,285,2,0.5014534217433195
2,1,1.0,285,3,0.38394615262129295
2,1,1.0,285,4,0.3659465920275632
2,1,1.0,285,5,0.41930807899041594
2,1,1.0,285,6,0.3229253870924276
2,1,1.0,285,7,0.4125061509842952
2,1,1.0,285,8,0.34922254469960584
2,1,1.0,285,9,0.3505618657332356
2,1,1.0,285,10,0.295622284091773
2,1,1.0,285,11,0.36178721053860047
2,1,1.0,285,12,0.37433101706546335
2,1,1.0,285,13,0.3751631163574395
2,1,1.0,285,14,0.35720706666757635
2,1,1.0,285,15,0.3331729342351897
2,1,1.0,285,16,0.33105549135916884
2,1,1.0,285,17,0.3938785012617642
2,1,1.0,285,18,0.33792092735582185
2,1,1.0,285,19,0.3715140626981692
2,1,1.0,285,20,0.36904985396862366
2,1,1.0,285,21,0.3935294215937586
2,1,1.0,285,22,0.34523062175601094
2,1,1.0,285,23,0.36166040067938093
2,1,1.0,285,24,0.34640437296723725
2,1,1.0,285,25,0.32245250912762435
2,1,1.0,285,26,0.3463471710801721
2,1,1.0,285,27,0.35693635623298026
2,1,1.0,285,28,0.3543974355830142
2,1,1.0,285,29,0.3583525322880049
2,1,1.0,285,30,0.36416459237593274
2,1,1.0,285,31,0.3666945463052057
2,1,1.0,285,32,0.3677864574428475
2,1,1.0,285,33,0.3265216909253595
2,1,1.0,285,34,0.37766189021101443
2,1,1.0,285,35,0.39062137531815666
2,1,1.0,285,36,0.40236219614095653
2,1,1.0,285,37,0.33486374250243356
2,1,1.0,285,38,0.3257680410601723
2,1,1.0,285,39,0.34445058662350764
2,1,1.0,285,40,0.3871995844316665
2,1,1.0,285,41,0.3783742631182467
2,1,1.0,285,42,0.3944720509653824
2,1,1.0,285,43,0.36827205990173195
2,1,1.0,285,44,0.34844517501706934
2,1,1.0,285,45,0.38200562212164685
2,1,1.0,285,46,0.35640354873322033
2,1,1.0,285,47,0.34168200254921244
2,1,1.0,285,48,0.41844461084155055
2,1,1.0,285,49,0.4076686634013036
2,1,1.0,285,50,0.3261774789221027
2,1,1.0,285,51,0.3642218875354259
2,1,1.0,285,52,0.40762943565146564
2,1,1.0,285,53,0.43440703831072197
2,1,1.0,285,54,0.39323659755802337
2,1,1.0,285,55,0.3380149354984939
2,1,1.0,285,56,0.3986784517149239
2,1,1.0,285,57,0.34138110266081206
2,1,1.0,285,58,0.3919948931887376
2,1,1.0,285,59,0.3759722224169031
2,1,1.0,285,60,0.34825530760103807
2,1,1.0,285,61,0.38891441357747614
2,1,1.0,285,62,0.3077421354011559
2,1,1.0,285,63,0.35749471504820984
2,1,1.0,285,64,0.4399437850295559
2,1,1.0,285,65,0.32760364016428833
2,1,1.0,285,66,0.390295374026188
2,1,1.0,285,67,0.40186072520928406
2,1,1.0,285,68,0.30420976203835354
2,1,1.0,285,69,0.3586500242212566
2,1,1.0,285,70,0.30749736269828964
2,1,1.0,285,71,0.3457039995882386
2,1,1.0,285,72,0.3678130679935823
2,1,1.0,285,73,0.3582752705495102
2,1,1.0,285,74,0.39776912634480227
2,1,1.0,285,75,0.3734825854634474
2,1,1.0,285,76,0.3838136344325319
2,1,1.0,285,77,0.3899440213593764
2,1,1.0,285,78,0.32511352420753264
2,1,1.0,285,79,0.35617370624199884
2,1,1.0,285,80,0.3893813773649419
2,1,1.0,285,81,0.3959048331831526
2,1,1.0,285,82,0.37663099939097433
2,1,1.0,285,83,0.3565152308719184
2,1,1.0,285,84,0.3168995483605671
2,1,1.0,285,85,0.36763089714990305
2,1,1.0,285,86,0.35813157413847907
2,1,1.0,285,87,0.4209083991083974
2,1,1.0,285,88,0.36495390738456235
2,1,1.0,285,89,0.3738889425165653
2,1,1.0,285,90,0.3725366117581933
2,1,1.0,285,91,0.3798169974264531
2,1,1.0,285,92,0.3241631222457349
2,1,1.0,285,93,0.366280400210367
2,1,1.0,285,94,0.37193448275205687
2,1,1.0,285,95,0.39342637400591535
2,1,1.0,285,96,0.3390216778746325
2,1,1.0,285,97,0.3614604707975176
