model,model_snapshot,algorithm,family,seed_index,rng_seed,true_types,initial_state_id,final_cumulative_regret,matched_seed,source_file
DeepSeek-V3.2,DeepSeek-V3.2,atom_tom0,LLM-coordination,5,5,2|3|0,fixed_hp_spgg_initial_state,16.999999999999996,True,analysis\e_a_matched_likelihood\matched_s10\external\DeepSeek_V3_2_atom_tom0.npz
DeepSeek-V3.2,DeepSeek-V3.2,atom_tom0,LLM-coordination,6,6,1|2|2,fixed_hp_spgg_initial_state,0.0,True,analysis\e_a_matched_likelihood\matched_s10\external\DeepSeek_V3_2_atom_tom0.npz
DeepSeek-V3.2,DeepSeek-V3.2,atom_tom0,LLM-coordination,7,7,3|2|2,fixed_hp_spgg_initial_state,16.999999999999996,True,analysis\e_a_matched_likelihood\matched_s10\external\DeepSeek_V3_2_atom_tom0.npz
DeepSeek-V3.2,DeepSeek-V3.2,atom_tom0,LLM-coordination,8,8,2|1|0,fixed_hp_spgg_initial_state,0.9999999999999964,True,analysis\e_a_matched_likelihood\matched_s10\external\DeepSeek_V3_2_atom_tom0.npz
DeepSeek-V3.2,DeepSeek-V3.2,atom_tom0,LLM-coordination,9,9,1|3|3,fixed_hp_spgg_initial_state,32.99999999999998,True,analysis\e_a_matched_likelihood\matched_s10\external\DeepSeek_V3_2_atom_tom0.npz
DeepSeek-V3.2,DeepSeek-V3.2,atom_tom1,LLM-coordination,0,0,3|2|2,fixed_hp_spgg_initial_state,17.300000000000004,True,analysis\e_a_matched_likelihood\matched_s10\external\DeepSeek_V3_2_atom_tom1.npz
DeepSeek-V3.2,DeepSeek-V3.2,atom_tom1,LLM-coordination,1,1,1|2|3,fixed_hp_spgg_initial_state,1.0000000000000004,True,analysis\e_a_matched_likelihood\matched_s10\external\DeepSeek_V3_2_atom_tom1.npz
DeepSeek-V3.2,DeepSeek-V3.2,atom_tom1,LLM-coordination,2,2,3|1|0,fixed_hp_spgg_initial_state,11.099999999999996,True,analysis\e_a_matched_likelihood\matched_s10\external\DeepSeek_V3_2_atom_tom1.npz
DeepSeek-V3.2,DeepSeek-V3.2,atom_tom1,LLM-coordination,3,3,3|0|0,fixed_hp_spgg_initial_state,13.25,True,analysis\e_a_matched_likelihood\matched_s10\external\DeepSeek_V3_2_atom_tom1.npz
DeepSeek-V3.2,DeepSeek-V3.2,atom_tom1,LLM-coordination,4,4,2|3|3,fixed_hp_spgg_initial_state,0.2999999999999998,True,analysis\e_a_matched_likelihood\matched_s10\external\DeepSeek_V3_2_atom_tom1.npz
DeepSeek-V3.2,DeepSeek-V3.2,atom_tom1,LLM-coordination,5,5,2|3|0,fixed_hp_spgg_initial_state,0.5499999999999998,True,analysis\e_a_matched_likelihood\matched_s10\external\DeepSeek_V3_2_atom_tom1.npz
DeepSeek-V3.2,DeepSeek-V3.2,atom_tom1,LLM-coordination,6,6,1|2|2,fixed_hp_spgg_initial_state,3.5800000000000014,True,analysis\e_a_matched_likelihood\matched_s10\external\DeepSeek_V3_2_atom_tom1.npz
DeepSeek-V3.2,DeepSeek-V3.2,atom_tom1,LLM-coordination,7,7,3|2|2,fixed_hp_spgg_initial_state,17.300000000000004,True,analysis\e_a_matched_likelihood\matched_s10\external\DeepSeek_V3_2_atom_tom1.npz
DeepSeek-V3.2,DeepSeek-V3.2,atom_tom1,LLM-coordination,8,8,2|1|0,fixed_hp_spgg_initial_state,1.4,True,analysis\e_a_matched_likelihood\matched_s10\external\DeepSeek_V3_2_atom_tom1.npz
DeepSeek-V3.2,DeepSeek-V3.2,atom_tom1,LLM-coordination,9,9,1|3|3,fixed_hp_spgg_initial_state,0.7999999999999994,True,analysis\e_a_matched_likelihood\matched_s10\external\DeepSeek_V3_2_atom_tom1.npz
DeepSeek-V3.2,DeepSeek-V3.2,atom_tom2,LLM-coordination,0,0,3|2|2,fixed_hp_spgg_initial_state,16.4,True,analysis\e_a_matched_likelihood\matched_s10\external\DeepSeek_V3_2_atom_tom2.npz
DeepSeek-V3.2,DeepSeek-V3.2,atom_tom2,LLM-coordination,1,1,1|2|3,fixed_hp_spgg_initial_state,16.499999999999996,True,analysis\e_a_matched_likelihood\matched_s10\external\DeepSeek_V3_2_atom_tom2.npz
DeepSeek-V3.2,DeepSeek-V3.2,atom_tom2,LLM-coordination,2,2,3|1|0,fixed_hp_spgg_initial_state,10.05,True,analysis\e_a_matched_likelihood\matched_s10\external\DeepSeek_V3_2_atom_tom2.npz
DeepSeek-V3.2,DeepSeek-V3.2,atom_tom2,LLM-coordination,3,3,3|0|0,fixed_hp_spgg_initial_state,14.549999999999997,True,analysis\e_a_matched_likelihood\matched_s10\external\DeepSeek_V3_2_atom_tom2.npz
DeepSeek-V3.2,DeepSeek-V3.2,atom_tom2,LLM-coordination,4,4,2|3|3,fixed_hp_spgg_initial_state,30.99999999999998,True,analysis\e_a_matched_likelihood\matched_s10\external\DeepSeek_V3_2_atom_tom2.npz
DeepSeek-V3.2,DeepSeek-V3.2,atom_tom2,LLM-coordination,5,5,2|3|0,fixed_hp_spgg_initial_state,0.8999999999999999,True,analysis\e_a_matched_likelihood\matched_s10\external\DeepSeek_V3_2_atom_tom2.npz
DeepSeek-V3.2,DeepSeek-V3.2,atom_tom2,LLM-coordination,6,6,1|2|2,fixed_hp_spgg_initial_state,1.7499999999999996,True,analysis\e_a_matched_likelihood\matched_s10\external\DeepSeek_V3_2_atom_tom2.npz
DeepSeek-V3.2,DeepSeek-V3.2,atom_tom2,LLM-coordination,7,7,3|2|2,fixed_hp_spgg_initial_state,16.4,True,analysis\e_a_matched_likelihood\matched_s10\external\DeepSeek_V3_2_atom_tom2.npz
DeepSeek-V3.2,DeepSeek-V3.2,atom_tom2,LLM-coordination,8,8,2|1|0,fixed_hp_spgg_initial_state,2.349999999999997,True,analysis\e_a_matched_likelihood\matched_s10\external\DeepSeek_V3_2_atom_tom2.npz
DeepSeek-V3.2,DeepSeek-V3.2,atom_tom2,LLM-coordination,9,9,1|3|3,fixed_hp_spgg_initial_state,30.199999999999978,True,analysis\e_a_matched_likelihood\matched_s10\external\DeepSeek_V3_2_atom_tom2.npz
DeepSeek-V3.2,DeepSeek-V3.2,econ_bne,LLM-coordination,0,0,3|2|2,fixed_hp_spgg_initial_state,1.0000000000000053,True,analysis\e_a_matched_likelihood\matched_s10\external\DeepSeek_V3_2_econ_bne.npz
DeepSeek-V3.2,DeepSeek-V3.2,econ_bne,LLM-coordination,1,1,1|2|3,fixed_hp_spgg_initial_state,1.5500000000000052,True,analysis\e_a_matched_likelihood\matched_s10\external\DeepSeek_V3_2_econ_bne.npz
