phase,H,n,m,seed,agent,true_type,first_turn,censored,rho_action,first_episode
type_horizon,1,3,4,2054,2,3,4.0,False,0.07433819726669055,4
type_horizon,1,3,4,2055,0,0,6.0,False,0.07433819726669055,6
type_horizon,1,3,4,2055,1,0,3.0,False,0.07433819726669055,3
type_horizon,1,3,4,2055,2,2,5.0,False,0.07433819726669055,5
type_horizon,1,3,4,2056,0,1,7.0,False,0.07433819726669055,7
type_horizon,1,3,4,2056,1,2,4.0,False,0.07433819726669055,4
type_horizon,1,3,4,2056,2,0,21.0,False,0.07433819726669055,21
type_horizon,1,3,4,2057,0,2,11.0,False,0.07433819726669055,11
type_horizon,1,3,4,2057,1,2,6.0,False,0.07433819726669055,6
type_horizon,1,3,4,2057,2,2,12.0,False,0.07433819726669055,12
type_horizon,1,3,4,2058,0,0,6.0,False,0.07433819726669055,6
type_horizon,1,3,4,2058,1,2,7.0,False,0.07433819726669055,7
type_horizon,1,3,4,2058,2,1,7.0,False,0.07433819726669055,7
type_horizon,1,3,4,2059,0,0,3.0,False,0.07433819726669055,3
type_horizon,1,3,4,2059,1,0,12.0,False,0.07433819726669055,12
type_horizon,1,3,4,2059,2,3,1.0,False,0.07433819726669055,1
type_horizon,1,3,4,2060,0,2,5.0,False,0.07433819726669055,5
type_horizon,1,3,4,2060,1,2,4.0,False,0.07433819726669055,4
type_horizon,1,3,4,2060,2,2,3.0,False,0.07433819726669055,3
type_horizon,1,3,4,2061,0,2,6.0,False,0.07433819726669055,6
type_horizon,1,3,4,2061,1,0,19.0,False,0.07433819726669055,19
type_horizon,1,3,4,2061,2,1,11.0,False,0.07433819726669055,11
type_horizon,1,3,4,2062,0,1,19.0,False,0.07433819726669055,19
type_horizon,1,3,4,2062,1,3,2.0,False,0.07433819726669055,2
type_horizon,1,3,4,2062,2,2,5.0,False,0.07433819726669055,5
type_horizon,1,3,4,2063,0,2,8.0,False,0.07433819726669055,8
type_horizon,1,3,4,2063,1,0,35.0,False,0.07433819726669055,35
type_horizon,1,3,4,2063,2,2,4.0,False,0.07433819726669055,4
type_horizon,1,3,4,2064,0,2,3.0,False,0.07433819726669055,3
type_horizon,1,3,4,2064,1,2,5.0,False,0.07433819726669055,5
type_horizon,1,3,4,2064,2,1,9.0,False,0.07433819726669055,9
type_horizon,1,3,4,2065,0,0,6.0,False,0.07433819726669055,6
type_horizon,1,3,4,2065,1,2,6.0,False,0.07433819726669055,6
type_horizon,1,3,4,2065,2,1,6.0,False,0.07433819726669055,6
type_horizon,1,3,4,2066,0,3,2.0,False,0.07433819726669055,2
type_horizon,1,3,4,2066,1,1,13.0,False,0.07433819726669055,13
type_horizon,1,3,4,2066,2,3,2.0,False,0.07433819726669055,2
type_horizon,1,3,4,2067,0,1,16.0,False,0.07433819726669055,16
type_horizon,1,3,4,2067,1,0,4.0,False,0.07433819726669055,4
type_horizon,1,3,4,2067,2,3,4.0,False,0.07433819726669055,4
type_horizon,1,3,4,2068,0,2,3.0,False,0.07433819726669055,3
type_horizon,1,3,4,2068,1,2,5.0,False,0.07433819726669055,5
type_horizon,1,3,4,2068,2,2,5.0,False,0.07433819726669055,5
type_horizon,1,3,4,2069,0,1,6.0,False,0.07433819726669055,6
type_horizon,1,3,4,2069,1,0,7.0,False,0.07433819726669055,7
type_horizon,1,3,4,2069,2,1,6.0,False,0.07433819726669055,6
type_horizon,1,3,4,2070,0,0,18.0,False,0.07433819726669055,18
type_horizon,1,3,4,2070,1,0,14.0,False,0.07433819726669055,14
type_horizon,1,3,4,2070,2,3,2.0,False,0.07433819726669055,2
type_horizon,1,3,4,2071,0,1,10.0,False,0.07433819726669055,10
type_horizon,1,3,4,2071,1,3,9.0,False,0.07433819726669055,9
type_horizon,1,3,4,2071,2,1,10.0,False,0.07433819726669055,10
type_horizon,1,3,4,2072,0,0,2.0,False,0.07433819726669055,2
type_horizon,1,3,4,2072,1,2,4.0,False,0.07433819726669055,4
type_horizon,1,3,4,2072,2,1,9.0,False,0.07433819726669055,9
type_horizon,1,3,4,2073,0,1,9.0,False,0.07433819726669055,9
type_horizon,1,3,4,2073,1,3,2.0,False,0.07433819726669055,2
type_horizon,1,3,4,2073,2,0,6.0,False,0.07433819726669055,6
type_horizon,1,3,4,2074,0,3,1.0,False,0.07433819726669055,1
type_horizon,1,3,4,2074,1,3,2.0,False,0.07433819726669055,2
type_horizon,1,3,4,2074,2,0,5.0,False,0.07433819726669055,5
type_horizon,1,3,4,2075,0,1,11.0,False,0.07433819726669055,11
type_horizon,1,3,4,2075,1,2,11.0,False,0.07433819726669055,11
type_horizon,1,3,4,2075,2,1,16.0,False,0.07433819726669055,16
type_horizon,1,3,4,2076,0,3,5.0,False,0.07433819726669055,5
type_horizon,1,3,4,2076,1,0,2.0,False,0.07433819726669055,2
type_horizon,1,3,4,2076,2,0,21.0,False,0.07433819726669055,21
type_horizon,1,3,4,2077,0,3,3.0,False,0.07433819726669055,3
type_horizon,1,3,4,2077,1,1,9.0,False,0.07433819726669055,9
type_horizon,1,3,4,2077,2,1,13.0,False,0.07433819726669055,13
type_horizon,1,3,4,2078,0,3,3.0,False,0.07433819726669055,3
type_horizon,1,3,4,2078,1,1,6.0,False,0.07433819726669055,6
type_horizon,1,3,4,2078,2,2,5.0,False,0.07433819726669055,5
type_horizon,1,3,4,2079,0,1,11.0,False,0.07433819726669055,11
type_horizon,1,3,4,2079,1,1,6.0,False,0.07433819726669055,6
type_horizon,1,3,4,2079,2,2,7.0,False,0.07433819726669055,7
type_horizon,1,3,4,2080,0,2,5.0,False,0.07433819726669055,5
type_horizon,1,3,4,2080,1,0,5.0,False,0.07433819726669055,5
type_horizon,1,3,4,2080,2,0,18.0,False,0.07433819726669055,18
type_horizon,1,3,4,2081,0,2,7.0,False,0.07433819726669055,7
type_horizon,1,3,4,2081,1,1,6.0,False,0.07433819726669055,6
