model,alpha,seed,algorithm,episode,instant_regret,cumulative_regret,chosen_action,oracle_action,chosen_welfare,oracle_welfare,posterior_true_mass,posterior_marginal_tv_vs_joint,true_types
analytic-mixed,0.0,40000,pact_factored,98,0.0,0.0,26,26,1.342339859097794,1.342339859097794,1.0,8.923700100821038e-30,3|2|3
analytic-mixed,0.0,40000,pact_factored,99,0.0,0.0,26,26,1.342339859097794,1.342339859097794,1.0,5.90820738922913e-30,3|2|3
analytic-mixed,0.0,40000,pact_factored,100,0.0,0.0,26,26,1.342339859097794,1.342339859097794,1.0,3.9113069263912246e-30,3|2|3
analytic-mixed,0.0,40000,joint_psrl_coupled,1,0.0,0.0,26,26,1.342339859097794,1.342339859097794,0.27985888960396094,0.0,3|2|3
analytic-mixed,0.0,40000,joint_psrl_coupled,2,0.0,0.0,26,26,1.342339859097794,1.342339859097794,0.5482540792845897,0.0,3|2|3
analytic-mixed,0.0,40000,joint_psrl_coupled,3,0.0,0.0,26,26,1.342339859097794,1.342339859097794,0.7175210167433145,0.0,3|2|3
analytic-mixed,0.0,40000,joint_psrl_coupled,4,0.0,0.0,26,26,1.342339859097794,1.342339859097794,0.8192842074884503,0.0,3|2|3
analytic-mixed,0.0,40000,joint_psrl_coupled,5,0.0,0.0,26,26,1.342339859097794,1.342339859097794,0.8823417436339538,0.0,3|2|3
analytic-mixed,0.0,40000,joint_psrl_coupled,6,0.0,0.0,26,26,1.342339859097794,1.342339859097794,0.9227410393282558,0.0,3|2|3
analytic-mixed,0.0,40000,joint_psrl_coupled,7,0.0,0.0,26,26,1.342339859097794,1.342339859097794,0.9491238900842536,0.0,3|2|3
analytic-mixed,0.0,40000,joint_psrl_coupled,8,0.0,0.0,26,26,1.342339859097794,1.342339859097794,0.966489980056158,0.0,3|2|3
analytic-mixed,0.0,40000,joint_psrl_coupled,9,0.0,0.0,26,26,1.342339859097794,1.342339859097794,0.9779445593744611,0.0,3|2|3
analytic-mixed,0.0,40000,joint_psrl_coupled,10,0.0,0.0,26,26,1.342339859097794,1.342339859097794,0.9854972812013258,0.0,3|2|3
analytic-mixed,0.0,40000,joint_psrl_coupled,11,0.0,0.0,26,26,1.342339859097794,1.342339859097794,0.9904717469306914,0.0,3|2|3
analytic-mixed,0.0,40000,joint_psrl_coupled,12,0.0,0.0,26,26,1.342339859097794,1.342339859097794,0.9937442391708092,0.0,3|2|3
analytic-mixed,0.0,40000,joint_psrl_coupled,13,0.0,0.0,26,26,1.342339859097794,1.342339859097794,0.9958949110597711,0.0,3|2|3
analytic-mixed,0.0,40000,joint_psrl_coupled,14,0.0,0.0,26,26,1.342339859097794,1.342339859097794,0.9973072173202182,0.0,3|2|3
analytic-mixed,0.0,40000,joint_psrl_coupled,15,0.0,0.0,26,26,1.342339859097794,1.342339859097794,0.9982341114797704,0.0,3|2|3
analytic-mixed,0.0,40000,joint_psrl_coupled,16,0.0,0.0,26,26,1.342339859097794,1.342339859097794,0.9988421741006879,0.0,3|2|3
analytic-mixed,0.0,40000,joint_psrl_coupled,17,0.0,0.0,26,26,1.342339859097794,1.342339859097794,0.9992409571654947,0.0,3|2|3
analytic-mixed,0.0,40000,joint_psrl_coupled,18,0.0,0.0,26,26,1.342339859097794,1.342339859097794,0.9995024346957547,0.0,3|2|3
analytic-mixed,0.0,40000,joint_psrl_coupled,19,0.0,0.0,26,26,1.342339859097794,1.342339859097794,0.9996738577501895,0.0,3|2|3
analytic-mixed,0.0,40000,joint_psrl_coupled,20,0.0,0.0,26,26,1.342339859097794,1.342339859097794,0.9997862304805057,0.0,3|2|3
analytic-mixed,0.0,40000,joint_psrl_coupled,21,0.0,0.0,26,26,1.342339859097794,1.342339859097794,0.9998598890320396,0.0,3|2|3
analytic-mixed,0.0,40000,joint_psrl_coupled,22,0.0,0.0,26,26,1.342339859097794,1.342339859097794,0.9999081688251101,0.0,3|2|3
analytic-mixed,0.0,40000,joint_psrl_coupled,23,0.0,0.0,26,26,1.342339859097794,1.342339859097794,0.9999398130224781,0.0,3|2|3
analytic-mixed,0.0,40000,joint_psrl_coupled,24,0.0,0.0,26,26,1.342339859097794,1.342339859097794,0.9999605532559408,0.0,3|2|3
